codeUniq,designation,city,seller
411E27,EL FOULADH Tunisienne de Sidérurgie,BIZERTE,houssem.trabelsi@amt.tn
411E38,ENIS,SFAX,houssem.trabelsi@amt.tn
411E39,ENIB,BIZERTE,houssem.trabelsi@amt.tn
411E43,ENIT,TUNIS,houssem.trabelsi@amt.tn
411E44,ENISO,SOUSSE,houssem.trabelsi@amt.tn
411E53,STE ECFM SUARL,ZAGHOUANE,houssem.trabelsi@amt.tn
411E65,ENSIT,TUNIS,houssem.trabelsi@amt.tn
411E66,ECOLE NATIONALE D'INGENIEUR DE CART,TUNIS,houssem.trabelsi@amt.tn
411F37,FRANKISCHE Tunisie S.A.R.L.,BEN AROUS,houssem.trabelsi@amt.tn
411F41,FONDINOR,ZAGHOUANE,houssem.trabelsi@amt.tn
411G66,GKMS,BEJA,houssem.trabelsi@amt.tn
411H41,"STE HAMMAMI BEST HARDWARE ""HBH""",ZAGHOUANE,houssem.trabelsi@amt.tn
411I11,ISET SFAX,SFAX,houssem.trabelsi@amt.tn
411I15,ISET RADES,BEN AROUS,houssem.trabelsi@amt.tn
411I21,IBL ELECTRONICS TUNISIA,BIZERTE,houssem.trabelsi@amt.tn
411I26,ISSAT SOUSSE,SOUSSE,houssem.trabelsi@amt.tn
411I27,ISET KELIBIA,NABEUL,houssem.trabelsi@amt.tn
411I29,INTERMETAL,BEN AROUS,houssem.trabelsi@amt.tn
411I35,"STE INDUS AERONAU TUNISIENNE ""IAT""",BIZERTE,houssem.trabelsi@amt.tn
411I42,ISET BIZERTE,BIZERTE,houssem.trabelsi@amt.tn
411I43,ISET BEJA,BEJA,houssem.trabelsi@amt.tn
411I45,ISET EL KEF,KEF,houssem.trabelsi@amt.tn
411I49,ISET SILIANA,SILIANA,houssem.trabelsi@amt.tn
411I50,ISET KASSERINE,KASSERINE,houssem.trabelsi@amt.tn
411I53,ISET KSAR HELLAL,MONASTIR,houssem.trabelsi@amt.tn
411I54,ISET SIDI BOUZID,SIDI BOUZID,houssem.trabelsi@amt.tn
411I56,STE INTEK,ZAGHOUANE,houssem.trabelsi@amt.tn
411I57,STE IBL PRODUCTION,BIZERTE,houssem.trabelsi@amt.tn
411K02,Technique de Construction Mécanique   TCM ,BEN AROUS,houssem.trabelsi@amt.tn
411K33,KROMBERG & SCHUBERT,TUNISIE,houssem.trabelsi@amt.tn
411K34,KASSAROCK,BEJA,houssem.trabelsi@amt.tn
411L12,"LA TUNISIE MECANIQUE ""LTM""",MANOUBA,houssem.trabelsi@amt.tn
411L17,LARISYS NORTH AFRICA,ARIANA,houssem.trabelsi@amt.tn
411L22,STE LM ENGINEERING,TUNIS,houssem.trabelsi@amt.tn
411L25,LECTRIC,ZAGHOUANE,houssem.trabelsi@amt.tn
411L30,LILA,ZAGHOUANE,houssem.trabelsi@amt.tn
411M06,MECANOPRECIS,BIZERTE,houssem.trabelsi@amt.tn
411M112,"MANUFACTORING AERONAUTIQUE P. ""MAP""",BEN AROUS,houssem.trabelsi@amt.tn
411M15,MECA FRERES,BIZERTE,houssem.trabelsi@amt.tn
411M152,MATERIELS AUTO & DERIVES,TUNISIE,houssem.trabelsi@amt.tn
411M162,MS PRECIS,ZAGHOUANE,houssem.trabelsi@amt.tn
411M171,Monster MOLD,BEN AROUS,houssem.trabelsi@amt.tn
411M174,MECAPROTEC,TUNISIE,houssem.trabelsi@amt.tn
411M49,MISFAT,MANOUBA,houssem.trabelsi@amt.tn
411M66,STE MAGAL DIE CASTING,ZAGHOUANE,houssem.trabelsi@amt.tn
411M79,AKWEL MATEUR TUNISIA MGI,BIZERTE,houssem.trabelsi@amt.tn
411M94,MEDICA MEDITERRANEE,BIZERTE,houssem.trabelsi@amt.tn
411M96,MTF EMBA MET,BIZERTE,houssem.trabelsi@amt.tn
411M98,MSC,ZAGHOUANE,houssem.trabelsi@amt.tn
411N16,SNA NOUR,ZAGHOUANE,houssem.trabelsi@amt.tn
411N21,NF INSTRUMENTATION,TUNIS,houssem.trabelsi@amt.tn
411O05,OFFICEPLAST,BEJA,houssem.trabelsi@amt.tn
411O11,OUDIMAG Tunisie,ZAGHOUANE,houssem.trabelsi@amt.tn
411P01,STE PRECIMECA,BEN AROUS,houssem.trabelsi@amt.tn
411P09,PRATO TUNISIA s.a.r.l,BIZERTE,houssem.trabelsi@amt.tn
411P26,PRECIMECA EXPORT,BIZERTE,houssem.trabelsi@amt.tn
411P39,"PLASTIC ELECTRO. CAMPANY ""PEC""",ZAGHOUANE,houssem.trabelsi@amt.tn
411P58,PROMAT ENGINEERING,TUNIS,houssem.trabelsi@amt.tn
411P93,PHARMAPLASTI,BEN AROUS,houssem.trabelsi@amt.tn
411R20,Sté RASSAS CONSTRUCTION,BIZERTE,houssem.trabelsi@amt.tn
411S10,SIDENOR,ZAGHOUANE,houssem.trabelsi@amt.tn
411S106,SOMEF TUNISIE,BEN AROUS,houssem.trabelsi@amt.tn
411S123,SMUPAT,ZAGHOUANE,houssem.trabelsi@amt.tn
411S128,"STE INDUSTRIE D'AMORTISSEURS ""SIA""",BEN AROUS,houssem.trabelsi@amt.tn
411S147,SNCFT,BEN AROUS,houssem.trabelsi@amt.tn
411S149,SIRTEC,BEN AROUS,houssem.trabelsi@amt.tn
411S150,SITEM SARL,ZAGHOUANE,houssem.trabelsi@amt.tn
411S151,SIMATRA,ZAGHOUANE,houssem.trabelsi@amt.tn
411S153,"SOCIETE CARTHAGE INDUSTRIE ""SCI""",ZAGHOUANE,houssem.trabelsi@amt.tn
411S163,WKW TUNISIE SARL,BIZERTE,houssem.trabelsi@amt.tn
411S171,CHAKIRA CABLE,TUNIS,houssem.trabelsi@amt.tn
411S172,SOTUVER,ZAGHOUANE,houssem.trabelsi@amt.tn
411S173,SOLUTION COMPOSITE,ZAGHOUANE,houssem.trabelsi@amt.tn
411S175,STE SUMA,ZAGHOUANE,houssem.trabelsi@amt.tn
411S178,STE SIBEC,BIZERTE,houssem.trabelsi@amt.tn
411S183,"SEGNERE SITE TUNISIE ""SST""",TUNIS,houssem.trabelsi@amt.tn
411S184,SCEET,ZAGHOUANE,houssem.trabelsi@amt.tn
411S199,STE SOCABS,BEJA,houssem.trabelsi@amt.tn
411S23,SICAME,TUNIS,houssem.trabelsi@amt.tn
411S233,"STE AFRIQUE ACIER ""SAFAC""",KAIROUAN,houssem.trabelsi@amt.tn
411S237,STAAMP TUNISIE ,ZAGHOUANE,houssem.trabelsi@amt.tn
411S238,STE SUMIRIKO AUTOMOTIVE HOSE TUNISIA,ARIANA,houssem.trabelsi@amt.tn
411S239,ST METAL,TUNISIE,houssem.trabelsi@amt.tn
411S243,STE SAME TUNISIE,ZAGHOUANE,houssem.trabelsi@amt.tn
411S245,STE TUN INDU ELEC DE LUMIERE STIEL,TUNIS,houssem.trabelsi@amt.tn
411S251,STE SKS MACHINING,BIZERTE,houssem.trabelsi@amt.tn
411S263,SACEM INDUSTRIES,TUNISIE,houssem.trabelsi@amt.tn
411S267,SOGECOM MAALEJ ET CIE,BEN AROUS,houssem.trabelsi@amt.tn
411S36,SEMG,BIZERTE,houssem.trabelsi@amt.tn
411S45,STE DMS TECHNOLOGIES,BEN AROUS,houssem.trabelsi@amt.tn
411S68,STEG,TUNIS,houssem.trabelsi@amt.tn
411S71,SIM BEN AROUS,BEN AROUS,houssem.trabelsi@amt.tn
411T29,TPR TUNISIE,BEN AROUS,houssem.trabelsi@amt.tn
411T39,TUNISAIR TECHNICS,TUNIS,houssem.trabelsi@amt.tn
411T40,TTE INTERNATIONAL,TUNIS,houssem.trabelsi@amt.tn
411T44,SOCIETE TUNELEC,BIZERTE,houssem.trabelsi@amt.tn
411T51,TUNITEK INDUSTRY,MANOUBA,houssem.trabelsi@amt.tn
411T56,STT / TRANSTU,TUNIS,houssem.trabelsi@amt.tn
411T59,STE TUNICAST,BEN AROUS,houssem.trabelsi@amt.tn
411T65,TECHNIPLAST INDUSTRIE,BIZERTE,houssem.trabelsi@amt.tn
411T72,TUNISO ALGERIENNE DES INDU METAL ,BEJA,houssem.trabelsi@amt.tn
411T82,TECALU,BEN AROUS,houssem.trabelsi@amt.tn
411T88,TOUTALU,TUNISIE,houssem.trabelsi@amt.tn
411T92,TRESCAL,BEN AROUS,houssem.trabelsi@amt.tn
411T96,TELNET,TUNISIE,houssem.trabelsi@amt.tn
411T99,TUNISCO,ZAGHOUANE,houssem.trabelsi@amt.tn
411U24,UNITECH,TUNIS,houssem.trabelsi@amt.tn
411V06,VALEO,MANOUBA,houssem.trabelsi@amt.tn
411V15,VERNICOLOR TUNISIA,TUNISIE,houssem.trabelsi@amt.tn
411W06,WIT,BEN AROUS,houssem.trabelsi@amt.tn
411Y03,YAZAKI AUTOMOTIVE PRODUCTS TUNISIA,BIZERTE,houssem.trabelsi@amt.tn
411Y04,YGM,KEF,houssem.trabelsi@amt.tn
