codeUniq,designation,region,turnover,seller
411I26,ISSAT SOUSSE,SOUSSE,"0,000",houssem.trabelsi@amt.tn
411I27,ISET KELIBIA,NABEUL,"0,000",houssem.trabelsi@amt.tn
411I29,INTERMETAL,BEN AROUS,"71 396,970",houssem.trabelsi@amt.tn
411I35,"STE INDUS AERONAU TUNISIENNE ""IAT""",BIZERTE,"2 659,410",houssem.trabelsi@amt.tn
411I42,ISET BIZERTE,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411I43,ISET BEJA,BEJA,"0,000",houssem.trabelsi@amt.tn
411I45,ISET KEF,KEF,"11 176,360",houssem.trabelsi@amt.tn
411I49,ISET SILIANA,SILIANA,"0,000",houssem.trabelsi@amt.tn
411I50,ISET KASSERINE,KASSERINE,"0,000",houssem.trabelsi@amt.tn
411I53,ISET KSAR HELLAL,MONASTIR,"0,000",houssem.trabelsi@amt.tn
411I54,ISET SIDI BOUZID,SIDI BOUZID,"0,000",houssem.trabelsi@amt.tn
411I57,STE IBL PRODUCTION,BIZERTE,"160,710",houssem.trabelsi@amt.tn
411K02,Technique de Construction Mécanique   TCM ,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411K33,KROMBERG & SCHUBERT,BEJA,"0,000",houssem.trabelsi@amt.tn
411K34,KASSAROCK,BEJA,"0,000",houssem.trabelsi@amt.tn
411L12,"LA TUNISIE MECANIQUE ""LTM""",MANOUBA,"22 287,630",houssem.trabelsi@amt.tn
411L17,LARISYS NORTH AFRICA,ARIANA,"815,130",houssem.trabelsi@amt.tn
411L18,LABORATOIRE TUNISIEN D'ETALONNAGE ET D'ESSAIS,TUNIS,"0,000",houssem.trabelsi@amt.tn
411L22,STE LM ENGINEERING,TUNIS,"0,000",houssem.trabelsi@amt.tn
411L25,LECTRIC,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411M06,MECANOPRECIS,BIZERTE,"244,800",houssem.trabelsi@amt.tn
411M112,"MANUFACTORING AERONAUTIQUE P. ""MAP""",BEN AROUS,"73,180",houssem.trabelsi@amt.tn
411M15,MECA FRERES,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411M152,MATERIELS AUTO & DERIVES,TUNISIE,"0,000",houssem.trabelsi@amt.tn
411M162,MS PRECIS,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411M171,Monster MOLD,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411M49,MISFAT,MANOUBA,"53 640,520",houssem.trabelsi@amt.tn
411M61,Sté de Maintenance & Affutage des Outils Coupants SUARL,TUNIS,"0,000",houssem.trabelsi@amt.tn
411M66,STE MAGAL DIE CASTING,ZAGHOUANE,"473,640",houssem.trabelsi@amt.tn
411M79,AKWEL MATEUR TUNISIA,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411M94,MEDICA MEDITERRANEE,BIZERTE,"7 059,060",houssem.trabelsi@amt.tn
411M96,MTF EMBA MET,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411M98,MSC,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411N16,SNA NOUR,ZAGHOUANE,"2 870,490",houssem.trabelsi@amt.tn
411N21,NF INSTRUMENTATION,TUNIS,"0,000",houssem.trabelsi@amt.tn
411O05,OFFICEPLAST,BEJA,"0,000",houssem.trabelsi@amt.tn
411O11,OUDIMAG Tunisie,ZAGHOUANE,"150,000",houssem.trabelsi@amt.tn
411P01,STE PRECIMECA,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411P09,PRATO TUNISIA s.a.r.l,BIZERTE,"1 461,480",houssem.trabelsi@amt.tn
411P26,PRECIMECA EXPORT,BIZERTE,"2 347,230",houssem.trabelsi@amt.tn
411P39,"PLASTIC ELECTRO. CAMPANY ""PEC""",ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411P56,POLYTECH INT,TUNIS,"0,000",houssem.trabelsi@amt.tn
411P58,PROMAT ENGINEERING,TUNIS,"0,000",houssem.trabelsi@amt.tn
411R20,Sté RASSAS CONSTRUCTION,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411S10,SIDENOR,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411S106,SOMEF TUNISIE,BEN AROUS,"1 477,960",houssem.trabelsi@amt.tn
411S123,SMUPAT,ZAGHOUANE,"2 763,590",houssem.trabelsi@amt.tn
411S127,"STE INDUSTRIELLE DE PLAQUETTES DE FREIN ""SIPAF""",TUNIS,"0,000",houssem.trabelsi@amt.tn
411S128,"STE INDUSTRIE D'AMORTISSEURS ""SIA""",BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411S147,SNCFT,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411S149,SIRTEC,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411S150,SITEM SARL,ZAGHOUANE,"60 198,160",houssem.trabelsi@amt.tn
411S151,SIMATRA,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411S153,"SOCIETE CARTHAGE INDUSTRIE ""SCI""",ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411S163,WKW TUNISIE SARL,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411S171,CHAKIRA CABLE,TUNIS,"0,000",houssem.trabelsi@amt.tn
411S172,SOTUVER,ZAGHOUANE,"14 911,170",houssem.trabelsi@amt.tn
411S173,SOLUTION COMPOSITE,ZAGHOUANE,"19 844,230",houssem.trabelsi@amt.tn
411S175,STE SUMA,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411S178,STE SIBEC,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411S183,"SEGNERE SITE TUNISIE ""SST""",TUNIS,"83,270",houssem.trabelsi@amt.tn
411S184,SCEET,ZAGHOUANE,"380,690",houssem.trabelsi@amt.tn
411S199,STE SOCABS,BEJA,"0,000",houssem.trabelsi@amt.tn
411S22,STE MAHBOUBA DE BRIQUETTERIE SA,TUNIS,"0,000",houssem.trabelsi@amt.tn
411S23,SICAME,TUNIS,"0,000",houssem.trabelsi@amt.tn
411S233,"STE AFRIQUE ACIER ""SAFAC""",KAIROUAN,"0,000",houssem.trabelsi@amt.tn
411S237,STAAMP TUNISIE ,ZAGHOUANE,"4 879,940",houssem.trabelsi@amt.tn
411S238,STE SUMIRIKO AUTOMOTIVE HOSE TUNISIA,ARIANA,"0,000",houssem.trabelsi@amt.tn
411S239,ST METAL,TUNIS,"0,000",houssem.trabelsi@amt.tn
411S243,STE SAME TUNISIE,ZAGHOUANE,"630,610",houssem.trabelsi@amt.tn
411S245,STE TUN INDU ELEC DE LUMIERE STIEL,TUNIS,"875,960",houssem.trabelsi@amt.tn
411S251,STE SKS MACHINING,BIZERTE,"716,220",houssem.trabelsi@amt.tn
411S263,SACEM INDUSTRIES,TUNISIE,"0,000",houssem.trabelsi@amt.tn
411S267,SOGECOM MAALEJ ET CIE,BEN AROUS,"77,850",houssem.trabelsi@amt.tn
411S36,SEMG,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411S45,STE DMS TECHNOLOGIES,BEN AROUS,"420,000",houssem.trabelsi@amt.tn
411S68,STEG,TUNIS,"0,000",houssem.trabelsi@amt.tn
411S71,SIM BEN AROUS,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411T29,TPR TUNISIE,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411T39,TUNISAIR TECHNICS,TUNIS,"1 155,000",houssem.trabelsi@amt.tn
411T40,TTE INTERNATIONAL,TUNIS,"0,000",houssem.trabelsi@amt.tn
411T44,SOCIETE TUNELEC,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411T51,TUNITEK INDUSTRY,MANOUBA,"32 652,790",houssem.trabelsi@amt.tn
411T56,"SOCIETE DES TRANSPORT DE TUNIS ""STT / TRANSTU""",TUNIS,"20 312,500",houssem.trabelsi@amt.tn
411T59,STE TUNICAST,BEN AROUS,"24 330,590",houssem.trabelsi@amt.tn
411T65,TECHNIPLAST INDUSTRIE,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411T72,TUNISO ALGERIENNE DES INDU METAL ,BEJA,"0,000",houssem.trabelsi@amt.tn
411T82,TECALU,BEN AROUS,"823,500",houssem.trabelsi@amt.tn
411T88,TOUTALU,TUNISIE,"0,000",houssem.trabelsi@amt.tn
411T92,TRESCAL,BEN AROUS,"623,520",houssem.trabelsi@amt.tn
411T96,TELNET,TUNISIE,"0,000",houssem.trabelsi@amt.tn
411U24,UNITECH,TUNIS,"0,000",houssem.trabelsi@amt.tn
411V06,VALEO,MANOUBA,"2 423,700",houssem.trabelsi@amt.tn
411V15,VERNICOLOR TUNISIA,TUNISIE,"0,000",houssem.trabelsi@amt.tn
411W06,WIT,BEN AROUS,"7 164,110",houssem.trabelsi@amt.tn
411Y03,YAZAKI AUTOMOTIVE PRODUCTS TUNISIA,BIZERTE,"0,000",houssem.trabelsi@amt.tn
